"","S01","S02","S03","S04","S05","S07","S08","S09","S10","S11","S12","S14","S15","S17","S18","S20","S21","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32","S34","S35","S37","S38","S40","S41","S42","S43","S44","S45","S46","S47","S49","S50","S51","S52","S53","S54","S55"
"a8911a86f12602a1008d0cd2304908c1",2.62321732062366,1.83994679671913,2.88184438040346,2.8892337249686,1.88428286410995,2.86706569127318,1.61087711519988,1.33008202172467,1.35225005542008,0.96061479346782,1.33747136628981,1.50742629128796,1.50003694672283,2.10596320106407,1.26357792063844,1.09362299564029,0.628140703517588,0.635483632601788,0.436003547147502,1.09362299564029,1.06406561737974,1.72171728367694,0.48030739673391,0.591147565210966,1.46309022389714,2.40892632823469,1.72171728367694,1.04205158524869,0.258684405025868,2.23897140323653,1.17490578585679,0.768491834774256,1.2561885760733,1.08623365107515,0.812827902165078,1.39658612281091,1.0566762728146,0.399024606517402,0.376967994678099,0.354688539126579,0.598625378759885,0.55420084238528,0.450750018473361,1.00495086085864,0.96061479346782,0.968004138032956
"b74846a4b2711cefa025ea5ce2e3b925",1.90645089780536,1.10101234020542,1.26357792063844,1.73649597280721,1.5739303923742,1.83255745215399,1.17490578585679,1.48525825759255,1.74388531737235,1.12318037390084,1.24879923150817,1.80300007389345,0.90888938151186,1.04928692824946,0.827606591295352,0.990172171728368,0.679869937924919,0.30296312717062,0.384274312740171,0.724155767383433,0.790659868469667,0.879332003251312,0.376856572821991,5.77107810537205,3.8867952412621,2.00251237715215,1.21185250868248,0.450816643263617,0.399113082039911,0.236459026084386,0.399024606517402,0.42858198477795,0.687209044557748,0.561590186950418,0.768491834774256,0.539422153255006,0.413803295647676,0.391635261952265,0.517407051518959,0.362077883691717,0.339960091641416,0.288184438040346,0.628094288036651,0.524643464124732,0.443360673908224,0.657651666297199
"a99a3f031a3080134b4e4e1655341c05",1.95078696519619,1.68477056085125,1.93600827606591,1.0566762728146,1.29313529889899,1.47047956846228,1.5739303923742,1.60348777063474,1.30791398802926,1.24879923150817,1.61087711519988,1.39658612281091,0.945836104337545,2.08379516736865,0.931057415207271,0.842385280425626,0.665090156665681,0.524643464124732,0.480342890925214,0.990172171728368,1.55915170324392,1.21185250868248,0.391635261952265,1.60348777063474,0.657651666297199,1.24879923150817,1.33008202172467,0.465597516813244,0.546932742054693,0.406413951082539,0.812827902165078,1.20446316411734,1.35963939998522,1.16012709672652,1.18229513042193,1.17490578585679,0.990172171728368,0,0.347401877448444,0,0,0.339909849996305,0.458139363038499,0.613315598906377,0.997561516293505,1.42614350107145
"040ab56129607ae49eb93ddfa34478ac",0,0,0,0,0.0738934456513707,0,0,0,0.0665041010862337,0.391635261952265,0.162565580433016,0,0.0886721347816449,0,0.465528707603636,0.78327052390453,1.00502512562814,1.17490578585679,1.89181200118238,0.243848370649523,0.133008202172467,0.147786891302741,1.82516810758886,0.0517254119559595,0.0517254119559595,0.0665041010862337,0.746323801078844,2.53491981376099,1.80339985218034,2.48281977388606,1.00495086085864,0.458139363038499,0.834995935860489,0.812827902165078,1.07145496194488,0.96061479346782,1.52220498041824,1.21924185324762,1.00524798580826,1.27096726520358,1.4337447343138,1.15273775216138,1.16012709672652,1.84733614128427,1.69954924998153,0.642872977166925
"cdb6ada2f6976d70a5de7fe400557e01",1.21924185324762,1.92861893150078,0.539422153255006,2.06901647823838,1.66999187172098,1.1157910293357,0.768491834774256,0.495086085864184,0.60592625434124,1.78083204019803,2.6306066651888,1.04928692824946,1.27096726520358,1.55176235867879,2.07640582280352,1.1157910293357,0.665090156665681,0.709377078253159,0.465563109665977,0.78327052390453,0.746323801078844,0.812827902165078,0.613315598906377,1.19707381955221,1.5148156358531,1.10840168477056,1.6552131825907,1.18246988397014,0.428677014042868,1.56654104780906,1.43353284563659,0.938446759772408,0.805438557599941,1.13056971846597,0.635483632601788,0.761102490209118,0.60592625434124,0.184733614128427,0.243920467144652,0.280795093475209,0.221713103244402,0.280795093475209,0.317741816300894,0.871942658686175,0.568979531515555,0.657651666297199
"2b6b83bc4b857d8a2d3acb168b904366",1.50742629128796,2.12813123475948,1.72171728367694,1.14534840759625,0.901500036946723,2.07640582280352,2.00990172171728,1.36702874455036,1.42614350107145,1.07145496194488,1.19707381955221,2.2315820586714,1.03450823911919,1.62565580433016,0.665041010862337,0.317741816300894,0.184747265740467,0.12561885760733,0.162577593851611,1.3153033325944,1.80300007389345,1.48525825759255,0.0812827902165078,2.38675829453927,1.49264760215769,1.64043449346043,1.50742629128796,0.273446160668095,0.110864745011086,0.206901647823838,0.953225448902682,1.07884430651001,0.812827902165078,1.10101234020542,0.591147565210966,1.01972954998892,1.06406561737974,0.0738934456513707,0.221745879222411,0.0665041010862337,0.133027861946641,0.0443360673908224,0.110840168477056,0.524643464124732,0.384245917387128,0.820217246730215
"ce6cd0cbfafdce745dbe3e2700009141",0,0,0,0,0,0,0,0,0,0.458139363038499,0.620704943471514,0.376856572821991,0.96061479346782,0.450750018473361,3.06657799453188,7.95093475208749,4.06443984629028,4.77351658907855,2.11350872007094,0.369467228256854,0.12561885760733,1.0566762728146,1.23402054237789,0,0.206901647823838,0.229069681519249,0.709377078253159,0.990318527824994,0.192165558019217,1.5148156358531,1.23402054237789,0.169954924998153,0,0,0,0,0,0.413803295647676,0,0,0,1.14534840759625,0,0,0.938446759772408,0.192122958693564
"9efca9298ffa05ab2d49a55f672e6daa",0.413803295647676,0.30296312717062,0.679819699992611,0.376856572821991,0.140397546737604,0.561590186950418,0.487696741299047,0.354688539126579,0.435971329343087,0.295573782605483,0.0665041010862337,0.391635261952265,0.332520505431168,0.288184438040346,0.384245917387128,0.362077883691717,0.354714750221697,0.391635261952265,0.598581140999113,0.60592625434124,0.25123771521466,0.362077883691717,1.04928692824946,1.04189758368433,0.413803295647676,0.576368876080692,0.30296312717062,1.02727071169906,0.923872875092387,0.687209044557748,0.48030739673391,0.435971329343087,0.280795093475209,0.487696741299047,0.716766422818296,0.628094288036651,0.583758220645829,1.33008202172467,1.79614162170153,1.92861893150078,1.81804744660409,2.33503288258331,0.849774624990763,0.938446759772408,1.32269267715954,1.79561072932831
"f0e6ee9ec7c6f7f7fb5a637f89bc08f1",2.12074189019434,3.56905342496121,2.78578290105668,0.709377078253159,0.849774624990763,2.00251237715215,2.47543042932092,4.17497967930245,2.87445503583832,2.12074189019434,0.73154511194857,1.86211483041454,3.90896327495751,1.12318037390084,0,0.0665041010862337,0.125628140703518,0.133008202172467,0.140407921962755,1.41136481194118,1.01972954998892,1.33008202172467,0.310352471735757,2.58627059779798,1.07884430651001,1.74388531737235,0.539422153255006,0.103466114847387,0,0.0295573782605483,0.118229513042193,0.229069681519249,0.546811497820143,0.458139363038499,0.258627059779798,0.273405748910072,0.406413951082539,0.0738934456513707,0.0517407051518959,0,0.0591234941985071,0.0812827902165078,0.0591147565210966,0.0738934456513707,0.0812827902165078,0.147786891302741
"b109f26e3fac14e3bb1d21084c6aa2ae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28574595433385,1.5739303923742,2.43848370649523,0,1.55915170324392,0,6.25323379407199,0,3.59914270933412,0,2.76361486736127,3.00746323801079,2.52715584127688,2.61582797605852
