Site	PCoA1	PCoA2	Latitude	Longitude	Temperature	Sal	Chla	NO3_NO2	PO4	copy_18S	GroupL	GroupS	Richness	Shannon	Evenness
S28	0.3327082303632444	-0.16392276113824863	30.97	130.889	24.437	34.424	1.57	NA	NA	1516.2	North	NA	172	3.7446082174252684	0.7274623089529494
S29	-0.3449677139353075	-0.01220209313090328	31.362	132.862	25.861	34.702	0.17	NA	NA	938.2	South	NA	223	4.253928328280904	0.7867196582756608
S30	-0.3074545270406401	0.041929155110098766	32.019	134.142	25.032	34.732	0.24	NA	NA	479.2	South	NA	221	4.271323946587329	0.7912551330448784
S31	-0.31414313757829476	0.038746358736074016	32.252	134.244	25.06	34.754	0.22	NA	NA	908.8	South	NA	226	4.364276884973741	0.8051376636364584
S32	-0.08070234138879157	0.16610344116882256	32.588	134.163	25.842	34.763	0.32	36.93264994	12.05885434	1205	South	NA	209	4.116634255556449	0.7705684559221333
S34	0.33028478841454817	-0.028407758481495262	32.977	133.756	24.999	34.682	0.77	197.3443573	40.43321653	1302.4	North	NA	181	3.5785313465343416	0.6883780687017098
S35	0.32207646500661	-0.2078413393492435	33.177	133.65	24.091	34.194	1.42	544.5633998	72.56030024	2354.8	North	NA	137	3.2865927586777763	0.6680092480489812
S37	0.3193334250083826	-0.06946288222137373	32.802	133.554	24.757	34.611	0.42	85.34519226	32.84567439	698.4	North	NA	189	3.695005282023921	0.7049186600208095
S38	0.19332767730416583	0.10772481812145347	32.32	133.136	25.508	34.671	0.74	NA	NA	944	North	NA	192	3.846882529505273	0.7316948960093056
S40	0.12205301533032958	0.27586567401279016	32.496	133.934	25.92	34.771	0.52	54.9970314	30.96271606	996	North	NA	169	3.2793316677475075	0.6392585604483388
S41	0.1324127292703763	0.2603586191504967	32.513	133.755	25.833	34.757	0.46	93.53437853	30.96271606	1020.4	North	NA	140	3.3912329947191693	0.6862562493804475
S42	0.10591605336258586	0.28668721124888674	32.837	134.648	25.72	34.768	0.72	NA	NA	1749.9	North	NA	161	3.3903521383746082	0.6672077037870169
S43	0.19875018804657466	0.20411917193400103	32.906	135.168	25.522	34.708	0.71	NA	NA	1659.4	North	NA	168	3.57507708141225	0.6977170596403386
S44	0.199108087697382	0.19466545363999568	32.946	135.563	25.543	34.73	0.48	NA	NA	1642.8	North	NA	150	3.488453271926959	0.6962097752429125
S45	0.18934197372783917	0.22498964354333834	33.085	135.956	25.402	34.723	0.81	NA	NA	2019.2	North	NA	158	3.436070865635148	0.6787173066814892
S46	0.37475617468259836	-0.06901168035529376	34.485	137.524	22.234	34.436	1.03	NA	NA	1880.4	North	NA	124	3.1491301366407005	0.6533083376521439
S47	0.3749462158230198	-0.18186257272471995	35.041	139.252	21.605	34.21	1.28	NA	NA	4244	North	NA	150	3.5413352366657374	0.7067637193308182
S49	0.37701878825004737	-0.19301891804228327	35.201	139.484	21.518	34.245	1.45	NA	NA	2040.2	North	NA	132	3.419732181226894	0.7003626678789167
S50	0.36845620915390176	-0.11863394985813075	35.185	139.504	21.972	34.485	1.29	NA	NA	1714.4	North	NA	121	3.201387379350558	0.667541117342982
S51	0.3752219389242705	-0.09597738494921508	35.162	139.406	21.881	34.448	1.43	NA	NA	1281.4	North	NA	142	3.3728373569100625	0.6805801166400259
S52	0.3643783022540095	-0.13949316797218933	35.161	139.494	22.079	34.465	1.38	NA	NA	2052.8	North	NA	123	3.4705717514487917	0.7212050692892049
S53	0.33531532710666084	0.008884862081028832	34.418	139.788	24.543	34.67	0.78	282.4988295	37.65533079	1205.8	North	NA	165	3.4663278799008825	0.6788807083074575
S54	0.34224155305675874	0.014787414607791283	34.039	140.114	24.995	34.685	0.59	253.5880325	30.85180133	1183.8	North	NA	123	3.205600930539063	0.6661425859464979
