Genus	S01	S02	S03	S04	S05	S07	S08	S09	S10	S11	S12	S14	S15	S17	S18	S20	S21	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S34	S35	S37	S38	S40	S41	S42	S43	S44	S45	S46	S47	S49	S50	S51	S52	S53	S54	S55
Clade_E	0	0	0	0.12561885760733024	0	0	0	0	0.16995492499815268	0.31035247173575703	0.2438483706495234	0.04433606739082243	0.3177418163008941	0.2955737826054829	0.33990984999630536	0.15517623586787851	0.4803428909252143	0.31035247173575703	0.6059710316287319	0.6798196999926106	0.8054385575999409	0.3768565728219907	2.460651740190645	0.22168033695411216	0.33990984999630536	0.2512377152146605	0.4138032956476761	0.7759958613554061	1.4560236511456024	0.9236680706421341	1.027118894554053	0.5689795315155546	0.8128279021650779	0.5911475652109658	0.9236680706421341	0.5615901869504175	0.6428729771669253	1.8990615532402275	2.2026757336092837	3.4360452227887386	1.9362944350011086	2.6971107662750313	1.1675164412916574	0.8645533141210375	0.9606147934678194	0.7611024902091185
Clade_F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04433934377771209	0.0073893445651370725	0.014779781259237365	0	0	0	0.25123771521466043	0	0	0	0	0.11085655162220087	0.03695491500369549	0.16995492499815268	0.08867213478164486	0.022168033695411215	0.06650410108623366	0	0.05911475652109658	0	0.08867213478164486	0.4211926402128131	0.4287086998299948	0.39902460651740196	0.2808365974429089	0.4803073967339097	0.1625655804330156	0.051725411955959505	0.05911475652109658	0.11822951304219316
Clade_HAP2	3.5099386684401095	6.4582871499298005	4.832631345599645	1.4852582575925515	0.9680041380329565	3.376930466267642	4.24148378038868	6.147934678194044	4.108475578216212	2.534545185842016	0.8867213478164487	3.1478607847483926	4.588782974950122	1.8547254858494053	0.23645902608438632	0.06650410108623366	0.12562814070351758	0.1330082021724673	0.16996748448122967	2.024680410847558	1.6034877706347448	2.024680410847558	0.31035247173575703	4.330155915170324	2.261139436931944	2.85228700214291	0.7906598684696666	0.10346611484738748	0	0.02955737826054829	0.16256558043301558	0.22906968151924925	0.5985369097761029	0.5468114978201434	0.3251311608660312	0.2734057489100717	0.44336067390822426	0.07389344565137072	0.051740705151895924	0	0.059123494198507126	0.0812827902165078	0.05911475652109658	0.07389344565137072	0.0812827902165078	0.14778689130274145
Clade_HAP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2069169376293231	0.13300820217246728	0.05911912503694945	0.39163526195226483	0.32513116086603117	0.4581393630384985	0.24384837064952336	0.5320328086898692	0.5542008423852804	0.724155767383433	0.31035247173575703	0.3103983445421624	0.022172949002217293	0.36207788369171656	0.2512377152146605	0.22168033695411218	0.2142909923889751	0.21429099238897512	0.10345082391191901	0.09606147934678194	0.10345082391191901	0.0812827902165078	0.14783058614827405	0.11822951304219316	0.0812948045229473	0.12561885760733021	0.06650410108623366	0.08867213478164487	0.10345082391191901	0.11822951304219315
Clade_HAP4	2.9335697923594175	3.4212665336584647	2.5788812532328382	0.9310574152072711	0.5024754304293209	3.140471440183256	2.5788812532328382	1.9729549988915984	2.9335697923594175	2.571491908667701	2.379368949974137	1.839946796719131	3.6281681814823026	1.8916722086750903	7.322840464050839	19.980787704130645	12.799290570499558	13.352545629202691	5.9045226130653266	1.6034877706347448	1.0936229956402868	3.4064878445281903	7.448459321658169	1.9212295869356386	2.2906968151924927	4.359713293430873	3.110914061922707	4.375138570689527	0.5025868440502587	5.312938742333555	4.721791177122589	1.0640656173797385	3.724229660829084	1.3744180891154953	2.6971107662750313	2.933569792359418	2.6971107662750313	1.9138402423705017	3.961859708773745	2.593659942363112	3.340477422215653	4.24148378038868	2.009901721717284	3.8350698293061405	3.7390083499593585	1.5591517032439222
Clade_HAP5	3.8867952412621	4.433606739082244	5.844971551023424	2.8005615901869505	1.2192418532476168	5.0025862705977975	3.140471440183256	3.3325943988768194	2.5641025641025643	3.9606886869134708	2.445873051060371	3.3917091553979164	3.546885391265795	3.044409960836474	2.2759181260622183	1.5665410478090593	1.5001477978125923	1.3079139880292618	0.790718297369199	1.7143279391118007	2.0911845119337915	2.4089263282346853	0.7019877336880219	3.9385206532180597	4.359713293430873	6.36222567058302	1.6699918717209783	0.7242628039317124	0.3917220990391722	0.8423852804256262	1.1749057858567946	0.9384467597724082	1.5148156358530998	1.0714549619448754	1.123180373900835	1.130569718465972	1.0640656173797385	0.40641395108253897	0.8500258703525759	0.6576516662971994	0.6060158155346982	0.4803073967339097	0.48769674129904683	0.8793320032513117	0.613315598906377	1.0936229956402868
Coronosphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02955737826054829	0.051725411955959505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022168033695411215	0	0.022168033695411215
Dicrateria	0.41380329564767604	0.30296312717061996	0.6798196999926107	0.3768565728219907	0.14039754673760438	0.5615901869504175	0.4876967412990468	0.35468853912657944	0.4359713293430873	0.2955737826054829	0.06650410108623366	0.39163526195226483	0.3325205054311683	0.2881844380403458	0.38424591738712777	0.36207788369171656	0.35471475022169674	0.39163526195226483	0.5985811409991132	0.6059262543412399	0.25123771521466043	0.36207788369171656	1.0492869282494643	1.0418975836843272	0.41380329564767604	0.57636887608069165	0.30296312717061996	1.0272707116990614	0.9238728750923874	0.6872090445577478	0.48030739673390976	0.4359713293430873	0.28079509347520876	0.4876967412990468	0.7167664228182961	0.6280942880366511	0.5837582206458287	1.3300820217246732	1.7961416217015298	1.9286189315007758	1.8180474466040943	2.335032882583315	0.8497746249907633	0.9384467597724082	1.322692677159536	1.7956107293283083
Emiliania_Gephyrocapsa	0.916278726076997	0.8276065912953521	0.7241557673834331	1.2414098869430281	1.3596393999852214	1.5960984260696076	0.8719426586861746	0.9753934825980936	1.2118525086824798	1.6921599054163894	2.032069755412695	1.4926476021576884	1.94339762063105	1.8177787630237197	5.756299416241779	4.477942806473066	3.5767070647354418	1.2340205423778912	1.714454626071534	3.3252050543116827	1.633045148895293	1.4113648119411808	2.556713219537427	2.556713219537427	1.7956107293283083	1.3079139880292618	1.2931352988989877	4.079521099696992	1.6481892091648191	2.556713219537427	1.936008276065913	3.9237419640877853	1.2857459543338505	1.5739303923741965	2.4384837064952336	3.2513116086603113	1.5591517032439222	4.5444469075593	6.356715204375786	5.445946944506023	3.5991427093341217	4.0863075445208015	2.837508313012636	3.0074632380107884	2.527155841276879	2.6158279760585237
Exanthemachrysis	0	0	0	0	0	0.014778689130274145	0	0	0.0073893445651370725	0	0	0.014778689130274145	0	0.02955737826054829	0	0	0	0	0	0.02955737826054829	0	0.07389344565137072	0	0.0073893445651370725	0.022168033695411215	0	0	0.022171310324440176	0	0	0	0.05911475652109658	0.022168033695411215	0.0073893445651370725	0	0.022168033695411215	0	0	0	0	0	0	0	0	0	0.0073893445651370725
