Lat	Long	Speed	Temp	Sal	Chla
31.15597	128.6955083	15.3	23.842	34.3	1.56
31.15243	128.692715	15.3	23.876	34.319	1.63
31.148875	128.6899267	15.4	23.916	34.322	1.66
31.14531667	128.6871467	15.4	23.932	34.328	1.79
31.14175	128.6843867	15.4	23.961	34.341	1.72
31.13818833	128.68164	15.3	23.977	34.34	1.83
31.13462667	128.6788983	15.3	23.986	34.338	1.74
31.13109333	128.67615	15.3	23.992	34.328	1.76
31.127555	128.673465	15.1	23.991	34.325	1.78
31.12404667	128.670805	15	23.978	34.322	1.79
31.12052333	128.6681583	15	23.96	34.304	1.7
31.11701333	128.66548	15	23.929	34.276	1.71
31.1135	128.6628583	14.9	23.898	34.268	1.67
31.11000667	128.660265	14.9	23.876	34.248	1.7
31.10648167	128.65765	15	23.872	34.252	1.69
31.10296333	128.655025	15	23.866	34.249	1.64
31.09941667	128.652445	15	23.874	34.269	1.7
31.09587833	128.649855	15	23.922	34.305	1.68
31.092335	128.647245	15	23.988	34.349	1.63
31.08880333	128.64462	15	24.08	34.39	1.57
31.08527667	128.6419867	15	24.174	34.431	1.46
31.08175667	128.63939	14.9	24.303	34.477	1.44
31.07825833	128.6367767	14.9	24.426	34.52	1.3
31.07476167	128.6341533	14.9	24.522	34.546	1.23
31.07127333	128.6315	15	24.629	34.586	1.09
31.06778167	128.6288283	15	24.741	34.617	1
31.064275	128.6261533	15	24.903	34.666	0.95
31.06078333	128.6234483	15.1	24.982	34.69	0.94
31.0573	128.6207683	15	25.078	34.715	0.96
31.05380333	128.6180783	15	25.168	34.729	0.97
31.05032333	128.6153633	15	25.248	34.745	1.02
31.04683667	128.6126683	15	25.289	34.745	1.07
31.04334333	128.6099317	15	25.333	34.753	1.11
31.03986167	128.607195	15.1	25.37	34.767	1.13
31.03638833	128.604435	15	25.413	34.756	1.06
31.03291167	128.60166	15	25.434	34.77	1.06
31.02941333	128.5989667	15.1	25.445	34.769	1.01
31.02590333	128.59629	15.1	25.471	34.761	1
31.02239833	128.5936083	15	25.486	34.769	0.95
31.01891333	128.5909	15	25.481	34.762	0.93
31.01541833	128.588215	15	25.499	34.777	0.9
31.01192167	128.585495	15	25.522	34.774	0.96
31.00845167	128.58279	15	25.539	34.782	0.99
31.00495833	128.5800933	15	25.556	34.79	1.03
31.00147833	128.5774117	15	25.58	34.806	1.03
30.998005	128.5747083	15	25.604	34.8	1.08
30.99451667	128.5720267	15	25.608	34.8	1.1
30.99103667	128.5693017	15	25.62	34.799	1.04
30.98757667	128.566605	15	25.619	34.802	1.08
30.98410167	128.5638733	15	25.611	34.787	1.04
30.98062167	128.5611583	15	25.611	34.782	1
30.97717	128.5584433	15	25.601	34.769	0.96
30.9737	128.5556917	15	25.593	34.765	0.91
30.97023333	128.5529483	15	25.578	34.756	0.92
30.96676	128.550185	15	25.581	34.755	0.93
30.96329	128.5474433	15	25.568	34.75	0.95
30.95981667	128.5446983	15.1	25.56	34.749	1.02
30.95634667	128.541915	15.1	25.556	34.744	1.02
30.95284667	128.539145	15.1	25.547	34.753	1.04
30.94935333	128.5363633	15.1	25.545	34.749	1.03
30.945855	128.5336267	15.1	25.536	34.747	0.98
30.94235167	128.5308683	15.2	25.539	34.744	0.96
30.93886333	128.5280717	15.2	25.53	34.744	0.96
30.935375	128.525305	15.2	25.529	34.746	0.98
30.93186167	128.5225183	15.2	25.531	34.743	0.96
30.92836667	128.5197567	15.2	25.525	34.744	0.94
30.92483833	128.51699	15.2	25.517	34.744	0.91
30.92133167	128.5142133	15.3	25.517	34.741	0.91
30.91780667	128.5114917	15.2	25.518	34.744	0.94
30.91429	128.5087	15.2	25.522	34.745	0.93
30.910795	128.5059817	15.1	25.516	34.744	0.94
30.90731333	128.5032383	15.1	25.511	34.746	0.95
30.90383833	128.5005133	15.1	25.51	34.74	0.97
30.90035667	128.4977633	15.1	25.506	34.727	1.02
30.89687	128.495	15.1	25.502	34.729	0.97
30.89339167	128.492245	15.1	25.5	34.735	0.98
30.88993	128.48947	15.1	25.5	34.727	0.97
30.88647667	128.4867317	15	25.498	34.724	0.95
30.883015	128.4839717	15	25.485	34.716	0.93
30.87956333	128.4811933	15	25.481	34.713	0.98
30.87610167	128.478445	15	25.476	34.703	1
30.87263	128.4757433	14.9	25.46	34.703	1.01
30.86916833	128.4730567	14.9	25.447	34.693	1.02
30.86568833	128.4703983	14.9	25.43	34.684	0.96
