Lat	Long	Speed	Temp	Sal	Sig-t	Ssp	Chla	N_N	SRP	DIN_SPR
23.35008833	122.0521867	15.6	27.438	34.424	22.166	1539.13	0.06	26.42692483	8.584101792	3.084887252
23.353215	122.0488533	15.6	27.416	34.412	22.164	1539.06	0.05	26.16792415	8.421107416	3.11630472
23.356285	122.04547	15.6	27.398	34.398	22.159	1539.01	0.05	26.57252722	8.062307897	3.322182876
23.35937667	122.0421167	15.5	27.399	34.386	22.149	1538.99	0.04	26.53398176	8.477180854	3.143096778
23.36242667	122.0387517	15.5	27.402	34.377	22.142	1538.99	0.04	26.37756176	8.504318115	3.125471901
23.36549667	122.0353883	15.6	27.416	34.369	22.131	1539.01	0.03	26.67647565	8.592341781	3.113598895
23.36861667	122.032055	15.6	27.429	34.361	22.121	1539.02	0.05	26.91222471	9.102695691	2.962099002
23.371755	122.02872	15.7	27.456	34.35	22.104	1539.07	0.06	26.55872546	9.932149714	2.679242821
23.37492833	122.025435	15.7	27.477	34.348	22.096	1539.11	0.04	26.12365903	9.091517328	2.87797191
23.378115	122.0221267	15.7	27.488	34.334	22.082	1539.12	0.05	26.20908076	9.06648601	2.896499476
23.38129667	122.018795	15.8	27.488	34.327	22.076	1539.11	0.04	26.25533532	9.557328595	2.752752914
23.38446333	122.0154417	15.8	27.496	34.314	22.064	1539.11	0.04	26.10886254	9.174036136	2.850888028
23.387635	122.01208	15.9	27.508	34.311	22.058	1539.13	0.04	26.00615752	9.334846731	2.792861379
23.39082667	122.0087817	15.5	27.519	34.312	22.056	1539.16	0.03	26.22263384	9.175588566	2.873441091
23.39367833	122.005775	13.7	27.54	34.315	22.05	1539.21	0.04	26.16270186	8.805026901	2.988516266
23.39637167	122.0032217	12.3	27.534	34.317	22.055	1539.2	0.03	26.26851538	8.33995293	3.159979879
23.398745	122.0010633	10.4	27.52	34.311	22.054	1539.16	0.03	25.99732936	8.77682802	2.978621217
23.40026167	121.9990017	7.8	27.508	34.332	22.074	1539.16	0.03	26.4151125	8.566093167	3.092656856
23.40002333	121.997165	5.7	27.498	34.334	22.079	1539.14	0.02	26.71042053	8.587280166	3.125552518
23.39871167	121.9965533	5.1	27.483	34.322	22.074	1539.09	0.02	26.45340929	8.523364576	3.120528694
23.39763	121.9972083	4.1	27.482	34.305	22.062	1539.07	0.03	26.44731662	8.64058604	3.061040808
23.39742167	121.998125	2.9	27.485	34.302	22.058	1539.07	0.02	26.77967803	8.555775343	3.139035612
23.39767167	121.9987867	1.9	27.506	34.296	22.048	1539.11	0.04	26.61940349	8.673827077	3.077143709
23.39787333	121.99904	0.7	27.525	34.296	22.041	1539.15	0.04	26.9789954	8.001047438	3.389679259
23.39803333	121.9990567	0.5	27.542	34.293	22.033	1539.18	0.03	27.14884415	8.641338472	3.14848045
23.39819667	121.9990717	0.6	27.551	34.276	22.018	1539.18	0.02	26.48822455	8.810036624	3.014994899
