Site1	Site2	Dist_Jaccard	Sim_Jaccard
6	21	0.6669621749408984	0.3330378250591016
7	21	0.6471058682395281	0.3528941317604719
8	21	0.6469029645553167	0.3530970354446833
9	21	0.6284584980237153	0.37154150197628466
10	21	0.4391003460207613	0.5608996539792387
11	21	0.4617220801364024	0.5382779198635976
12	21	0.4796090326929558	0.52039096730704415
13	21	0.4889459580169718	0.5110540419830282
14	21	0.42840552781326213	0.5715944721867379
15	21	0.5487399463806971	0.4512600536193029
16	21	0.7015591268889423	0.2984408731110577
17	21	0.6949078985437361	0.30509210145626386
18	21	0.7335766423357664	0.26642335766423364
19	21	0.7297601727131929	0.27023982728680707
20	21	0.38777698355968543	0.6122230164403146
1	22	0.6237860375247878	0.3762139624752122
2	22	0.6094327990135635	0.3905672009864365
3	22	0.5667231518746029	0.43327684812539713
4	22	0.5008308408109007	0.4991691591890993
5	22	0.5190413657255417	0.4809586342744583
6	22	0.598342827550492	0.40165717244950805
7	22	0.5786156916290306	0.4213843083709694
8	22	0.5810003145643283	0.4189996854356717
9	22	0.5632232721095658	0.4367767278904342
10	22	0.4378390857670553	0.5621609142329447
11	22	0.3847944142746315	0.6152055857253684
12	22	0.4231867171570055	0.5768132828429945
13	22	0.47205600090324035	0.5279439990967596
14	22	0.38489079842463303	0.615109201575367
15	22	0.5317348377997179	0.46826516220028214
16	22	0.6705633871997643	0.32943661280023573
17	22	0.6513354594379112	0.34866454056208884
18	22	0.695111368238357	0.30488863176164305
19	22	0.6932696021629974	0.3067303978370026
20	22	0.26677766393442626	0.7332223360655737
21	22	0.3734375	0.6265625
1	23	0.8921905697445972	0.1078094302554028
2	23	0.8806451612903226	0.11935483870967745
3	23	0.8788368336025848	0.1211631663974152
4	23	0.7845884413309983	0.21541155866900175
5	23	0.7600897888130468	0.23991021118695322
6	23	0.8868599629858113	0.11314003701418873
7	23	0.863727959697733	0.13627204030226703
8	23	0.8686201563349077	0.13137984366509226
9	23	0.850114708131532	0.149885291868468
10	23	0.764617280569629	0.23538271943037103
11	23	0.7579275847827084	0.24207241521729161
12	23	0.8136232138160778	0.18637678618392217
13	23	0.8089244851258581	0.19107551487414187
14	23	0.7981349911190054	0.20186500888099457
15	23	0.6346852300242131	0.36531476997578693
16	23	0.5532392559332906	0.4467607440667094
17	23	0.38176382660687597	0.6182361733931241
18	23	0.35264759586122946	0.6473524041387706
19	23	0.3564097892755207	0.6435902107244793
20	23	0.7176766001800351	0.2823233998199649
21	23	0.7494917760118277	0.2505082239881723
22	23	0.7244450728121024	0.27555492718789765
1	24	0.5616198118722432	0.4383801881277568
2	24	0.5322125813449023	0.46778741865509765
3	24	0.49130434782608695	0.508695652173913
4	24	0.6116440112849448	0.38835598871505517
5	24	0.6313713592233009	0.3686286407766991
6	24	0.5321329790118771	0.46786702098812294
7	24	0.5084316102722363	0.49156838972776373
8	24	0.5097456227287743	0.49025437727122567
9	24	0.5304593332609404	0.4695406667390596
10	24	0.5666472488481703	0.4333527511518297
11	24	0.570734540845963	0.429265459154037
12	24	0.4936553873552983	0.5063446126447018
13	24	0.5498285469352765	0.4501714530647235
14	24	0.517175258861557	0.482824741138443
15	24	0.7094836217994565	0.29051637820054355
16	24	0.8045581025573075	0.19544189744269247
17	24	0.7771653187548005	0.22283468124519945
18	24	0.8125301627692713	0.18746983723072874
19	24	0.8071312089558818	0.19286879104411825
20	24	0.5118759621728612	0.48812403782713876
21	24	0.5428802153432033	0.4571197846567967
22	24	0.4839522769282473	0.5160477230717526
23	24	0.8300337166075906	0.16996628339240938
1	25	0.5751737207833229	0.42482627921667715
2	25	0.5914862614487927	0.4085137385512073
3	25	0.5521557719054242	0.4478442280945758
4	25	0.5613904539172957	0.4386095460827043
5	25	0.5828577412429969	0.41714225875700306
6	25	0.5387896129136748	0.4612103870863252
7	25	0.5584021304926764	0.4415978695073236
8	25	0.5348346235045742	0.4651653764954258
9	25	0.5182305923573853	0.48176940764261467
10	25	0.506703448275862	0.493296551724138
11	25	0.5206602536073458	0.4793397463926542
12	25	0.4227272727272727	0.5772727272727274
13	25	0.5087603305785124	0.49123966942148756
14	25	0.4460902514640028	0.5539097485359972
15	25	0.6606294536817102	0.3393705463182898
16	25	0.763488510210608	0.23651148978939196
17	25	0.7405770125639833	0.25942298743601666
18	25	0.775127845408879	0.22487215459112098
19	25	0.768877365356623	0.231122634643377
20	25	0.4876794993574342	0.5123205006425657
21	25	0.4848858038513211	0.5151141961486789
22	25	0.42794912005575886	0.5720508799442412
23	25	0.8022833879104345	0.19771661208956548
24	25	0.35664845173041887	0.6433515482695811
1	26	0.5658117846545146	0.43418821534548535
2	26	0.563375796178344	0.436624203821656
