Site1	Site2	Dist_Bray	Sim_Bray
7	15	0.5387571122441439	0.4612428877558561
8	15	0.5537574817113722	0.4462425182886278
9	15	0.5091997339835956	0.49080026601640436
10	15	0.2938742333555014	0.7061257666444987
11	15	0.32291435749649006	0.6770856425035099
12	15	0.41705460725633636	0.5829453927436636
13	15	0.37294022020246803	0.6270597797975319
14	15	0.35180669474617604	0.648193305253824
1	16	0.7160274883617823	0.2839725116382177
2	16	0.703022241927141	0.296977758072859
3	16	0.7073819552205719	0.2926180447794281
4	16	0.5417867435158501	0.4582132564841499
5	16	0.5300376856572822	0.46996231434271785
6	16	0.6866178969925367	0.3133821030074633
7	16	0.6886869134707752	0.31131308652922485
8	16	0.69703687282938	0.30296312717062
9	16	0.6600162565580433	0.3399837434419567
10	16	0.4864405527229735	0.5135594472770265
11	16	0.49057858567945023	0.5094214143205498
12	16	0.5833148599719205	0.41668514002807955
13	16	0.57636887608069165	0.42363112391930835
14	16	0.555309244070051	0.444690755929949
15	16	0.2928397251163822	0.7071602748836179
1	17	0.7263624607426565	0.27363753925734347
2	17	0.7028634768150748	0.2971365231849252
3	17	0.7057454276741179	0.29425457232588215
4	17	0.5636430814705339	0.4363569185294661
5	17	0.5221134306299648	0.47788656937003515
6	17	0.7225198595972658	0.27748014040273417
7	17	0.6791428043598744	0.3208571956401256
8	17	0.6900055422131904	0.30999445778680956
9	17	0.6681322741548125	0.33186772584518753
10	17	0.5392573434324773	0.46074265656752267
11	17	0.5330500646591539	0.46694993534084606
12	17	0.6207648254202845	0.37923517457971545
13	17	0.6186218363199705	0.3813781636800295
14	17	0.5915758359504896	0.40842416404951043
15	17	0.3500092370219841	0.649990762978016
16	17	0.23997783114723814	0.7600221688527619
1	18	0.7586640065026232	0.24133599349737678
2	18	0.7355353580137441	0.26446464198625586
3	18	0.7387866696224045	0.26121333037759553
4	18	0.6031921968521392	0.3968078031478608
5	18	0.5706051873198847	0.42939481268011526
6	18	0.7579250720461095	0.24207492795389052
7	18	0.7107071602748836	0.28929283972511644
8	18	0.7223084312421488	0.27769156875785117
9	18	0.6957806842533067	0.30421931574669325
10	18	0.5777728515480677	0.4222271484519323
11	18	0.5814675238306363	0.41853247616936373
12	18	0.6637109288406119	0.3362890711593881
13	18	0.6623069533732358	0.33769304662676425
14	18	0.6391044114387053	0.36089558856129467
15	18	0.40552722973472255	0.5944727702652775
16	18	0.2861893150077588	0.7138106849922412
17	18	0.12817291705154257	0.8718270829484575
1	19	0.7562904119711805	0.24370958802881948
2	19	0.7312396083502679	0.2687603916497321
3	19	0.7319785701089968	0.2680214298910032
4	19	0.5869203768704969	0.4130796231295031
5	19	0.538001108442638	0.46199889155736196
6	19	0.7523000184740439	0.24769998152595607
7	19	0.7106964714576021	0.28930352854239794
8	19	0.720229078145206	0.279770921854794
9	19	0.6938481433585812	0.30615185664141875
10	19	0.5692591908368742	0.43074080916312585
11	19	0.573101791982265	0.42689820801773504
12	19	0.6532791428043598	0.34672085719564016
13	19	0.6557177166081656	0.3442822833918344
14	19	0.6276371697764641	0.3723628302235359
15	19	0.4014409754295215	0.5985590245704785
16	19	0.3551080731572141	0.644891926842786
17	19	0.2102423884126515	0.7897576115873485
18	19	0.200738961758729	0.799261038241271
1	20	0.4891746102120742	0.5108253897879258
